text,sentiment
Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,sad
@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,sad
"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",sad
"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",sad
I'm having a problem with my photo here in twitter amf!!!...can't see my face!,sad
"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",neutral
wnna take a bath!!!!,neutral
Chocolate milk is so much better through a straw. I lack said straw,neutral
why am i so tired?,sad
@djmicdamn hey yu lil fucker i textd yu,sad
"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",neutral
@benballer  no way! damn that sucks B!  are you ok?,neutral
sucks not being able to take days off of work or have the money to take the trip  so sad,sad
"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to",happy
@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,neutral
@lostluna But I got dibs on Sulu...,neutral
"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.",sad
@itsgabbith at once haha.  poor aby still gets sore!,sad
diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,sad
I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,sad
@Pokinatcha  in all honesty...pain   blech.,sad
Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,sad
At home alone with not much to do,neutral
@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.,sad
@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol,sad
So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,sad
"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",happy
I cant give @jertronic any bday nudges.,neutral
...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',sad
Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,neutral
says I miss plurking.  http://plurk.com/p/wxion,neutral
"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",sad
I miss Voobys!,neutral
@Dancing_Monk Neither are ELP!!,neutral
"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",happy
is sad that shin ae got married...and it wasn't to alex,sad
"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.",sad
@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?,sad
there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,neutral
"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",sad
"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..",sad
@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,sad
fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,sad
dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,sad
@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you,sad
I can't sleep...I keep thinking about the puppy I played with today,sad
.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh,sad
@lepetitagneau what's going on sweetheart?,neutral
"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",neutral
"Last one month due to summer, strawberry is not availble in the Chennai markets!",sad
@willxxmobb work at 6am. Gotta go to bed soon,neutral
@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha,happy
@sweeetnspicy hiii im on my ipod...i cant fall asleep,sad
dont wanna work 11-830 tomorrow  but i get paid,sad
feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,sad
PrinceCharming,neutral
@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,sad
First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  ),sad
@mrgenius23 You win ... SIGH Rakeem,sad
Oh is that time for real?,neutral
Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,sad
Oh no one minute too late! Oh well,sad
"@soviet_star Damn, that sucks",sad
@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,sad
@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,sad
ahh! big scary bug flying around my room!!!!!,sad
"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",sad
is up with a nasty cough i cant be sick i have a huge weekend ahead of me,sad
@justamedicine  That was stone cold   Crazy....  ?,neutral
i'm so tired,sad
shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo,neutral
@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.,neutral
@thecreativeone I second that. I wish it rained more where I am,neutral
@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,sad
damn it were is Eric or anyone else when you need your hair to be played with,neutral
I'm feel deflated. Ugh. No more dog.,neutral
Allergies suck ducks nuts.     &lt;=====8@8=====&gt;,sad
Well it almost was a good day... Guess I just retry tomorrow,neutral
@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku,sad
@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...,happy
"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it.",sad
@britblackbird  youstinkatrespondingtotexts!,sad
wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,sad
"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.",happy
Is miserable  i feel like im gona cry  sux!,sad
@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,neutral
$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one,sad
"claire @breakfastnt love the show, got into the office @ 5am and no radio",neutral
Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.,happy
*sigh* I'm going to bed... I just don't feel right anymore...,sad
What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,neutral
@jwillock EpiCentre Wheelock Place - tourists only..,neutral
Now I am depressed after watching so you think you can dance,sad
"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",sad
miss 16'th,neutral
"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff.",neutral
"I cant sleep, but im too sore to move",sad
@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby,neutral
@softtouchme just answered you- never learned how to write in French- just basic stuff-,sad
what is it with chocolates? i just can never say no,neutral
Achieving a new appreciation on how a xml build script can really be painful and cumbersome,sad
@ether_radio i'm too awake now  ill have a nap this afternoon,neutral
@omfgiselle i cant do anything,sad
still needs another 6 hours of sleep,neutral
I'm at work,happy
RIP leonardo. You were a great mini fiddler crab,happy
"Morning tweeple,way to early again",neutral
"Last day working for the Uni today, sad times",sad
"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far",happy
My head hurts so bad I could scream!,sad
i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain,sad
New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice,sad
New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...,sad
"where are all ma bestfriends at ? , MIA or wat ?",neutral
oh men!!!!!!......I really can't see my face........c'mon guys!!!,sad
"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old",sad
my sole supporter is not my sole supporter,sad
don't you hate it when you finish all your work and there's still 1.25 hours left of work time,sad
@Emilyyy16 urgh stop it guys,sad
is still missing her husband.    I really want him home.,sad
I miss my puppy,sad
"2 days of this month left, and I only have 400MB left on my onpeak downloads.",happy
@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.,happy
@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones),sad
Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?,sad
@BarbSchaefer yearling in pet home died... very sad for their whole family,sad
fun in the sun hmmm hell no it's cold,neutral
I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!,sad
"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.",sad
is feeling sad... for some reason..  http://plurk.com/p/wxji3,sad
well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.,sad
just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,sad
@juneyee i don't think so.  I WANT DETAILS.,neutral
@jackgraycnn Hi...!!! Who is Mary Poppins???,neutral
"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards",sad
my last tweet didn't send  bad phone,neutral
@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?,happy
Have a headache  I'm going to bed. Goodnight!,sad
@taxidermi  I was watching Parental Control,neutral
"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay",happy
I just saw pics from this past Thanksgiving and am sad because Grandma was in them.,sad
@jertronic it wont let me,sad
Took a shift tomorrow.    I don't really feel like working right now.,sad
but now i have no money for a phone,sad
Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.,sad
@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything,sad
@Bern_morley where are you? In Bris? I can't hear any thunder,happy
"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!",happy
Too bad the Red Devils.. disappointing to say the least,sad
I had a dream about a pretty pretty beach and there was no beach when I woke up,happy
"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).",sad
when da heck will the garage man get here I ask you.. WHEN..,happy
"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff",sad
@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,sad
why are plane tickets so expensive,sad
(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,happy
Needs a job BADLY!!!,sad
@AlexanderGWhite daaammmnnnnn I do wish I was there.,sad
Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb,sad
@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,sad
@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4,sad
is a bad friend,sad
@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!,neutral
@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin,sad
@aiderushton ill be over in an oir,neutral
@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am,neutral
would wish the severe migrains would stop!!! doc's prescriptions arent working,sad
@bobbyedner i missed the game,happy
"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby",sad
@tiffalo cuz airlines are super lame.,sad
@lenje - Still a pity it comes with no lamb though,sad
@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.,sad
"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat",happy
I'm so very tired...and have insomnia.,sad
@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down,neutral
@yelgiuQnayR airport? and you didnt show up tonight homo!,neutral
"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.",sad
@MrRathbone what about me,neutral
"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking",neutral
people in my house do not know how to close doors,sad
Why am I completing facebook quizzes at this time of the morning... especially a friday morning,happy
out with @lizzziemonster &amp; @jamiejamess i am soooo hungry,neutral
@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death,sad
Had to cancel wow for now,sad
wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio,sad
@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.,sad
"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.",sad
@__sugar oh no  i am always here ;) &lt;3,sad
back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.,neutral
@ poll : was trying to get it to work in a powerpoint to no avail.,neutral
"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",happy
"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",happy
"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",neutral
Up late with nothin 2 do.....,sad
i think the vog is making me sicker than i think. feeling slightly achy,sad
"@TheTombert i was watching Harpers Island, lol... there was no vodka involved",sad
i am doing homework it sux big time maths is the worst!!!!!!,sad
"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out.",neutral
#3wordsaftersex it never started...,neutral
sometimes i wish things could go back to the way they were the beginning of last summer,sad
"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't",sad
@tarng Trudy's off Burnet...the one up north that no one goes to,sad
"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes.",sad
"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",happy
i'm sooooooooooooo confused,sad
"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well",neutral
"Work day 7 of 7,",sad
Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,happy
"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only",neutral
"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban",sad
@mysticnz no im not  cries LOL,neutral
Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL,sad
"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today",happy
I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,sad
Come on Knight... It's been well over 4 hours,neutral
not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with,sad
@FoxxFiles aw u can't let me in on the secret!,happy
"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like.",happy
"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...",sad
"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.",sad
Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!,sad
twittascope is NOT rocking my socks - go away already!!,neutral
Driving Back home because I forgot the piece of cake for @v_era,neutral
@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz,sad
"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol",sad
It's pissing me off and not letting me follow ericka,sad
Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....,sad
my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,sad
@koifusionpdx i was so close to the tacos...one spot too late,neutral
@msz_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin,sad
is thinking so much and i'm at work,happy
I have forgot the live with the Jonas Brothers on Facebook,sad
I haven't seen Muffin in two whole days!,sad
@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...,sad
my gap year is going so quick,happy
"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today....",sad
@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home,neutral
my twitter has been hacked again,sad
Just found mj mouse flats at DJs. Of course there are none left in my size,sad
@passingcarss i wont have time to buy  and i need a new binder pa,neutral
@lanacaitlin  hahaha well its try its so ugly,sad
25-man Ulduar is hard...,neutral
"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you",sad
@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though,happy
night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD],neutral
@princess_oats this is happening to me too,neutral
@qi_tah oh no.  *hugs*,happy
"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk",neutral
@xoshayzers i knoww  things won't be the samee &lt;/3,sad
"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat.",sad
@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me,happy
"Okay, so twitter suddenly changed, how do I respond to messages now",sad
ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.,neutral
Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!,sad
Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,sad
@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30,neutral
I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.,sad
sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend,sad
I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu,sad
think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,sad
"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips",neutral
@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...,sad
@sillybabyjulie me too,neutral
@digenis that story reminds of living in Portugal,neutral
"@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?",neutral
I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.,happy
my roommate @tess_tickle loves to ignore me,sad
@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.,neutral
@MyDailyRoutine yeahhh. &amp;dont judge my pillow,neutral
"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha",happy
my teeth and head hurts,sad
I HATE rob zombie movies. &amp; the smell of weed. Vommmm.,sad
"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!",sad
Waiting in line @ tryst,sad
Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!,sad
just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover,sad
I need to be held...  Gnite.,sad
"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",sad
no more arrested development. i am sad.,sad
"@Giggles_xo  wicked , what time you leaving? how come you cant stay the night",neutral
omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D,sad
I feel so deflated. No more doggy.,sad
@blood_rain i wanna see her hair  hows everyone?,sad
"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE.",sad
im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much,sad
just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,sad
Aww...  Pray for the arroyo family everyone!,sad
@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product,neutral
Fuuudge. Movie store is closed,sad
ALO is so sad and quiet and empty tonight,sad
"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set",sad
@wuzzyangel You never answered your DM I sent you....   I need your info...,sad
Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...,sad
@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie,sad
I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!,sad
@jose3030 I didn't think anyone caught that,sad
I need to be sleeping.. But i'm not even tired..,sad
0,sad
OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,neutral
"lyin in bed, up faaaaar too early",neutral
Sad that Christian Lacroix had to file bankruptcy,sad
I dont feel good AT ALL. fuckkk,sad
why did i agree to work a double shift,sad
looks like i'll never go to the zoo,sad
@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!,sad
When will Medhurst play again?,neutral
@Moss1982 bad times?,sad
aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,sad
Have to go to the dreaded DMV tomorrow,sad
@duncm I'm a bit Ben's Thai-ed out,neutral
english class! working on interactive orals,happy
@SharonHayes Thank you for the rec but that doesn't work,sad
@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?,neutral
My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie,sad
I don't know how ima work out tomorrow wit my body dis sore  ugh,sad
in 7-11  w/o you,neutral
"@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi",neutral
I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.,sad
Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.,sad
I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.,sad
"Lady across the way had a miscarriage, say a prayer",sad
God I just want to sleep.,sad
@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??,sad
I feel so deflated. No more doggy.,sad
Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes,sad
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",sad
is feeling bad  just got bad news about my Mum,sad
@RealBlackWidow But but I dun wanna,sad
@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!,sad
"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha",sad
@brettyrocks thats what i was thinking but the only time it's gonna be on is 1 am!,neutral
"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her",neutral
don't feel like working  I think I tweet this too often!,sad
feels sick to my stomach and idkk whyy,sad
vineri...nimic special sau probabil un alt weekend pierdut...,sad
Counting the hours of lost sunshine until the Weekend,neutral
@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho,happy
is home.  safely... but hungry,happy
"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER",sad
"got to final table, but....went out third.  Don't think I'll be getting my free seat",sad
good morning work this morning gutted lol nevermind,neutral
I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!,sad
FB is boring   and i wanna sing RIGHT NOW..! *-*,happy
@judyrey  The link doesn't work,sad
@Deedubau hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble,neutral
The humpalow um ya I think so... Cell is dying,sad
Last day at work...Sick to the bone,sad
i feel like I'm on house arrest.,sad
"love is like a war,,easy to begin, hard to end..fiuuhh...",neutral
@heavenjones ur supposed to be in BK tho,happy
@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad,sad
Oh no!  Nighty night.,happy
@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!,happy
my stupid tooooth hurts,sad
@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is,happy
Ready To Go @ School,neutral
@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.,sad
@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today,neutral
It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...,sad
@jarekpastor I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages,sad
my dog ran awayyy,sad
@all_is_one84 Those suck so bad.,sad
"I'm back. top molar extracted  swollen face, all numb.  But no more toothache or sinus pain.",sad
"just finished 8 hours of Texas Life Insurance CE tonight, 22 more hours to go",happy
does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp,sad
I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!!,happy
@exortabreedoll what happen to the maids of yours? Quit once again? ...,sad
